epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1239.7,0.76762,0.92825,1.03673,0.70427,0.81186,0.75452,0.56977,0.78095,2.06946,1.03292,0.000661333,0.000661333,0.000661333
2,2417.33,0.88242,0.8284,1.08018,0.89398,0.87487,0.93096,0.75706,0.70685,0.72038,0.94158,0.00119653,0.00119653,0.00119653
3,3591.63,0.84163,0.76538,1.05989,0.89681,0.82123,0.89537,0.72739,0.74711,0.72789,0.98521,0.00159972,0.00159972,0.00159972
4,4771.51,0.83579,0.74833,1.05946,0.90853,0.81458,0.89406,0.75222,0.64495,0.91046,0.94553,0.001406,0.001406,0.001406
5,5952.23,0.77403,0.68,1.02846,0.93103,0.89422,0.95054,0.82375,0.58436,0.51676,0.90976,0.001208,0.001208,0.001208
6,7124.89,0.72314,0.61363,1.01107,0.91694,0.86488,0.93326,0.80647,0.58833,0.54781,0.91844,0.00101,0.00101,0.00101
7,8298.55,0.67046,0.55931,0.98481,0.948,0.9271,0.96739,0.86471,0.50175,0.42746,0.8752,0.000812,0.000812,0.000812
8,9476.93,0.63054,0.51217,0.96923,0.95988,0.94091,0.97238,0.88334,0.44953,0.37782,0.85851,0.000614,0.000614,0.000614
9,10654.4,0.60353,0.4845,0.96552,0.9678,0.95039,0.98062,0.91008,0.39702,0.33062,0.83813,0.000416,0.000416,0.000416
10,11828.9,0.5578,0.44519,0.94495,0.97173,0.95654,0.98144,0.92103,0.37347,0.30479,0.82893,0.000218,0.000218,0.000218
